id,community_names,region,price,total_price,house_types,area,orientation,decoration,floor_levels,build_time,building_types
174,南庭新苑南区 ,新宫,"30,683元/平",152,1室1厅,49.54平米,西,简装,中楼层(共15层),2012年,塔楼
175,鸭子桥南里 ,菜户营,"73,921元/平",445,3室1厅,60.2平米,东 南 西,简装,底层(共6层) ,,板楼
176,左安浦园 ,左安门,"82,606元/平",435,1室1厅,52.66平米,西,简装,高楼层(共14层),2004年,板塔结合
177,西马庄园 ,通州北苑,"28,197元/平",159,1室1厅,56.39平米,南 北,精装,高楼层(共6层),1999年,板楼
178,兴华园 ,枣园,"27,959元/平",240,3室1厅,85.84平米,南 北,简装,顶层(共6层) ,,板楼
179,双惠苑1号院 ,双桥,"38,952元/平",373,2室1厅,95.76平米,南 北,精装,高楼层(共6层) ,,板楼
180,益明园 ,马家堡,"51,259元/平",228,1室0厅,44.48平米,南,简装,顶层(共15层) ,,板楼
181,独墅逸致 ,大兴新机场,"38,883元/平",880,4室2厅,226.32平米,南 北,精装,2层 ,,板楼
182,西斜街 ,金融街,"183,299元/平",878,2室1厅,47.9平米,南,简装,底层(共5层) ,,板楼
183,澜西园四区 ,顺义城,"26,327元/平",135,1室1厅,51.28平米,西北,简装,中楼层(共12层),2013年,板楼
184,富力阳光美园 ,常营,"49,700元/平",380,2室1厅,76.46平米,东,精装,高楼层(共27层),2010年,塔楼
185,兴化路2号院 ,和平里,"93,701元/平",656,3室1厅,70.01平米,南 北,精装,高楼层(共6层),1993年,板楼
186,开阳里一街 ,北京南站,"67,689元/平",486,2室1厅,71.8平米,南 北,精装,6层 ,,板楼
187,国誉万和城 ,青塔,"79,008元/平",1280,4室2厅,162.01平米,南 北,精装,高楼层(共25层) ,,板楼
188,新华联锦园 ,通州北苑,"34,268元/平",225,2室1厅,65.66平米,南 北,精装,顶层(共6层) ,,板楼
189,观音惠园 ,百子湾,"30,430元/平",548,5室1厅,180.09平米,南 北,简装,高楼层(共6层),2008年,板楼
190,交科院 ,小西天,"86,420元/平",490,2室1厅,56.7平米,东 南 北,其他,中楼层(共6层) ,,板楼
191,通惠南路 ,万达,"32,292元/平",219,2室1厅,67.82平米,西北,毛坯,底层(共6层) ,,板楼
